Disease,Category,Symptoms,Prevention,Risk_Level
Burning mouth syndrome,Other,"A burning or scalding feeling that most commonly affects your tongue, but also may affect your lips, gums, roof of your mouth, throat or whole mouth; A feeling of dry mouth with increased thirst; Taste changes in your mouth, such as a bitter or metallic taste; Loss of taste; Tingling, stinging or numbness in your mouth; The discomfort from burning mouth syndrome can have several different patterns. It may:; Happen every day, with little discomfort when waking up, but become worse as the day goes on; Start as soon as you wake up and last all day",There's no known way to prevent burning mouth syndrome,High
Sweating and body odor,Other,"Sweating and body odor most often affect the underarm and groin areas, the palms, the bottom of the feet, and the head, face and scalp",,Low
Osteomyelitis,Digestive,"Swelling, warmth and tenderness over the area of the infection; Pain near the infection; Tiredness; Fever; Sometimes osteomyelitis causes no symptoms","If you have an increased risk of infection, talk with your healthcare professional about ways to prevent infections; Take care not to get cuts, scrapes, and animal scratches or bites",High
Fecal incontinence,Neurological,The main symptom is not being able to control passing stool; There are two types of fecal incontinence:; Urge incontinenceis the sudden urge to pass stool but not being able to control the urge; Passive incontinenceis passing stool when a person isn't aware of the need to pass stool. A person may not be able to feel that the rectum is full of stool; Fecal incontinence also may be leakage of stool when a person passes gas,"Reduce constipation.Increase your exercise, eat more high-fiber foods and drink plenty of fluids; Control diarrhea.Avoid food or drinks that may make diarrhea worse, such as caffeinated drinks, alcohol, dairy products and fatty foods; Do not strain.Straining during bowel movements can eventually weaken anal sphincter muscles or damage nerves",Medium
Benign prostatic hyperplasia (BPH),Kidney/Urinary,"Frequent or urgent need to pee, also called urination; Peeing more often at night; Trouble starting to pee; Weak urine stream, or a stream that stops and starts; Dribbling at the end of urination; Not being able to fully empty the bladder; Less common symptoms include:; Urinary tract infection",,High
Sick sinus syndrome,Cardiovascular,Most people with sick sinus syndrome have few or no symptoms. Symptoms may be mild or come and go — making them difficult to recognize at first; Signs and symptoms of sick sinus syndrome may include:,,High
Brain AVM (arteriovenous malformation),Cardiovascular,"A brain arteriovenous malformation (AVM) may not cause any symptoms until the AVM bursts and bleeds, known as a hemorrhage; But some people with brain AVMs may experience symptoms other than bleeding, such as:; Seizures; Headaches or pain in one area of the head; Muscle weakness or numbness in one part of the body; Some people may experience more-serious symptoms depending on the location of the AVM, including:; A very bad headache; Weakness, numbness or paralysis",,High
Pediatric brain tumors,Cancer,"Pediatric brain tumor symptoms may vary depending on the tumor's location within the brain; Some of the more common signs and symptoms of pediatric brain tumors include:; Headaches, which may become more frequent and more severe. In children who don't talk, a parent might notice that the child is more irritable than usual; Nausea and vomiting; Vision changes, such as double vision. In children who don't talk, a parent might notice that a child squints or covers one eye when trying to look at something; Other possible signs and symptoms include:; A fuller soft spot on the skull in babies; Changes in the way the eyes move","There's no way to prevent pediatric brain tumors. If your child develops a brain tumor, you didn't do anything to cause it",High
Inflammatory breast cancer,Cancer,"Fast change in the appearance of one breast, over the course of several weeks; Thickness, heaviness or swelling of one breast; Changes in skin color, giving the breast a red, purple, pink or bruised appearance; Unusual warmth of the affected breast; Dimpling or ridges on the skin of the affected breast, similar to an orange peel; Tenderness, pain or aching; Enlarged lymph nodes under the arm, above the collarbone or below the collarbone; Flattened nipple or nipple that turns inward on the affected breast",,High
Male breast cancer,Cancer,"A painless lump or thickening of the skin on the chest; Changes to the skin covering the chest, such as dimpling, puckering, scaling or changes in the color of the skin; Changes to the nipple, such as changes in the skin color or scaling, or a nipple that begins to turn inward; Discharge or bleeding from the nipple","For most men, there's no way to prevent male breast cancer. For those that have an increased risk of cancer, there may be ways to lower the risk; If breast cancer runs in your family; If you're a transgender man",High
Mastitis,Infectious,"Breast tenderness or warmth; Breast swelling; Thickening of breast tissue, or a breast lump; Pain or a burning feeling all the time or while breastfeeding; Skin redness, often in a wedge-shaped pattern. The redness may be harder to see on Black or brown skin; Feeling ill; Fever of 101 degrees Fahrenheit (38.3 degrees Celsius) or greater","Before you start breastfeeding, think about meeting with a breastfeeding specialist, called a lactation consultant; Lower your chances of getting mastitis by following these tips:; Feed your baby on demand or let out milk with your hand, called expressing, often; Fully drain the milk from your breasts while breastfeeding; Let your baby empty one breast all the way before switching to the other breast during feeding; Change the position you use to breastfeed from one feeding to the next; Make sure your baby latches on well during feedings; If you smoke, talk with your healthcare professional about how to quit",Medium
Subconjunctival hemorrhage (broken blood vessel in eye),Skin,"The most obvious sign of a subconjunctival hemorrhage is a bright red patch on the white (sclera) of your eye; Despite its bloody appearance, a subconjunctival hemorrhage looks worse than it is and should cause no change in your vision, discharge or pain","If the bleeding on the surface of your eye has a clearly identifiable cause, such as a bleeding disorder or blood-thinning medication, ask your doctor if you can take any steps to reduce the risk of a subconjunctival hemorrhage; If you need to rub your eyes, rub them gently. Rubbing too hard can cause minor trauma to your eyes, which may lead to a subconjunctival hemorrhage",Medium
Burns,Other,"Burn symptoms vary depending on how deep the skin damage is. It can take a day or two for the symptoms of a severe burn to develop; First-degree burn, also called superficial burn; Second-degree burn, also called partial-thickness burn; Third-degree burn, also called full-thickness burn","Burns are very common, and most of them are preventable",High
Meralgia paresthetica,Neurological,Tingling; Burning pain; Decreased feeling or numbness; Increased sensitivity and pain to even a light touch; These symptoms commonly occur on one side of your body and might intensify after walking or standing,,Medium
Knee bursitis,Musculoskeletal,"Knee bursitis symptoms vary. They depend on which bursa is affected and what's causing the inflammation; The affected portion of your knee might feel warm, tender and swollen. You also might feel pain when you move or when you're at rest; A direct blow to the knee can cause symptoms to come on fast","Wear kneepads.This can help if you often work on your knees or play sports that put your knees at risk. Use padding to cushion and protect your knees; Take breaks.If you're on your knees for a while, take regular breaks to stretch your legs and rest your knees; Reach and stay at a healthy weight.This can help take pressure off the knee joints",Low
Corns and calluses,Skin,"A thick, rough area of skin; A hardened, raised bump; Tenderness or pain under the skin; Flaky, dry or waxy skin; Corns and calluses are not the same thing; Cornsare smaller and deeper than calluses and have a hard center surrounded by swollen skin; Callusesare rarely painful and tend to develop on pressure spots, such as the heels, the balls of the feet, the palms and the knees",Wear shoes that give your toes plenty of room; Use protective coverings; Wear padded gloves when using hand tools.Or try padding your tool handles with cloth tape or covers,Medium
Carcinoma of unknown primary,Cancer,A cough that won't go away; Feeling very tired; Fever that doesn't have a clear cause; Losing weight without trying; Nausea and vomiting; Pain in one part of the body; Swelling of the belly; Swollen lymph nodes,,High
Anal cancer,Cancer,Bleeding from the anus or rectum; Blood in the stool; Pain in the area of the anus; A mass or growth in the anal canal; Anal itching; Having to go to the bathroom more often,,High
Basal cell carcinoma,Cancer,"Basal cell carcinoma usually develops on sun-exposed parts of your body, especially your head and neck; Basal cell carcinoma appears as a change in the skin, such as a growth or a sore that won't heal",Wear protective clothing; Some companies also sell protective clothing; Check your skin regularly and report changes to your doctor; Examine your chest and trunk and the tops and undersides of your arms and hands,High
Bladder cancer,Cancer,"Blood in urine (hematuria), which may cause urine to appear bright red or cola colored, though sometimes the urine appears normal and blood is detected on a lab test; Frequent urination; Painful urination; Back pain","Don't smoke; Take caution around chemicals.If you work with chemicals, follow all safety instructions to avoid exposure; Choose a variety of fruits and vegetables",High
Bone cancer,Cancer,"Bone pain; Swelling and tenderness near the affected area; Weakened bone, which can lead to a broken bone; Feeling very tired; Losing weight without trying",,High
Breast cancer,Cancer,"A breast lump or thickened area of skin that feels different from the surrounding tissue; A nipple that looks flattened or turns inward; Changes in the color of the breast skin; Change in the size, shape or appearance of a breast; Changes to the skin over the breast, such as skin that looks dimpled or looks like an orange peel; Peeling, scaling, crusting or flaking of the skin on the breast",,High
Carcinoid tumors,Cancer,"Some carcinoid tumors don't cause any signs or symptoms. When they do occur, signs and symptoms are usually vague and depend on the location of the tumor",,High
Cervical cancer,Cancer,"Vaginal bleeding after intercourse, between periods or after menopause; Menstrual bleeding that is heavier and lasts longer than usual; Watery, bloody vaginal discharge that may be heavy and have a foul odor; Pelvic pain or pain during intercourse","Ask your doctor about theHPVvaccine; Have routine Pap tests; Practice safe sex; Don't smoke.If you don't smoke, don't start. If you do smoke, talk to a health care professional about ways to help you quit",High
Chronic lymphocytic leukemia,Cancer,"Enlarged, but painless, lymph nodes; Fatigue; Fever; Pain in the upper left portion of the abdomen, which may be caused by an enlarged spleen; Night sweats; Weight loss; Frequent infections",,High
Chronic myelogenous leukemia,Cancer,"Chronic myelogenous leukemia often doesn't cause symptoms. It might be detected during a blood test; When they occur, symptoms may include:; Bone pain; Bleeding easily; Feeling full after eating a small amount of food; Fatigue; Fever; Weight loss without trying",,High
Colon cancer,Cancer,"Many people with colon cancer don't have symptoms at first; Symptoms of colon cancer can include:; A change in bowel habits, such as more frequent diarrhea or constipation; Rectal bleeding or blood in the stool; Ongoing discomfort in the belly area, such as cramps, gas or pain; A feeling that the bowel doesn't empty all the way during a bowel movement; Weakness or tiredness; Losing weight without trying",,High
Endometrial cancer,Cancer,Vaginal bleeding after menopause; Bleeding between periods; Pelvic pain,Talk to your health care team about the risks of hormone therapy after menopause; Consider taking birth control pills; Maintain a healthy weight,High
Esophageal cancer,Cancer,"Esophageal cancer may not cause symptoms early on. Symptoms of esophageal cancer usually happen when the disease is advanced; Signs and symptoms of esophageal cancer include:; Difficulty swallowing; Chest pain, pressure or burning; Coughing or hoarseness; Weight loss without trying; Worsening indigestion or heartburn",,High
Eye melanoma,Cancer,"Flashes of light or what look like specks of dust in a person's vision. These are sometimes called floaters; A growing dark spot in the colored part of the eye, called the iris; A change in the shape of the pupil. The pupil is the dark circle at the center of the eye; Poor vision or blurry vision in one eye; Not being able to see when looking to the side. This is called loss of peripheral vision",,High
Floor of the mouth cancer,Cancer,Mouth pain; Sores in the mouth that won't heal; Trouble moving the tongue; Loose teeth; Pain with swallowing; Weight loss; Ear pain; Swelling in the neck that may hurt,Don't use tobacco; Limit alcohol intake; Ask about theHPVvaccine; Have regular health and dental exams,High
Gallbladder cancer,Cancer,"Belly pain, mostly in the upper right part of the belly; Belly bloating; A mass you can feel through the skin; Losing weight without trying; Yellowing of the skin and whites of the eyes, called jaundice",,High
Stomach cancer,Cancer,Trouble swallowing; Belly pain; Feeling bloated after eating; Feeling full after eating small amounts of food; Not feeling hungry when you would expect to be hungry; Heartburn; Indigestion; Nausea,Eat plenty of fruits and vegetables.Try to include fruits and vegetables in your diet each day. Choose a variety of colorful fruits and vegetables; Reduce the amount of salty and smoked foods you eat.Protect your stomach by limiting these foods; Stop smoking; Tell your health care provider if stomach cancer runs in your family,High
Hairy cell leukemia,Cancer,"Hairy cell leukemia might not cause symptoms. Sometimes a health care provider finds it by accident during a blood test for another condition; When it causes symptoms, hairy cell leukemia might cause:; A feeling of fullness in your belly that may make it uncomfortable to eat more than a little at a time; Fatigue; Easy bruising; Recurring infections; Weakness; Losing weight without trying",,High
Hodgkin lymphoma (Hodgkin disease),Cancer,"Painless swelling of lymph nodes in the neck, armpits or groin; Fever; Feeling very tired; Night sweats; Weight loss that happens without trying; Itchy skin",,High
Hurthle cell cancer,Cancer,"Hurthle cell cancer doesn't always cause symptoms, and it's sometimes detected during a physical examination or an imaging test done for some other reason; When they do occur, signs and symptoms may include:; These signs and symptoms don't necessarily mean that you have Hurthle cell cancer",,High
Kidney cancer,Cancer,"Blood in the urine, which may appear pink, red or cola colored; Loss of appetite; Pain in the side or back that doesn't go away; Tiredness; Unexplained weight loss",,High
Leukemia,Cancer,"Fever or chills; Persistent fatigue, weakness; Frequent or severe infections; Losing weight without trying; Swollen lymph nodes, enlarged liver or spleen; Easy bleeding or bruising; Recurrent nosebleeds; Tiny red spots in your skin (petechiae)",,High
Liver cancer,Cancer,"Losing weight without trying; Loss of appetite; Upper abdominal pain; Nausea and vomiting; General weakness and fatigue; Abdominal swelling; Yellow discoloration of your skin and the whites of your eyes (jaundice); White, chalky stools",,High
Lung cancer,Cancer,"Lung cancer typically doesn't cause symptoms early on. Symptoms of lung cancer usually happen when the disease is advanced; Signs and symptoms of lung cancer that happen in and around the lungs may include:; A new cough that doesn't go away; Chest pain; Coughing up blood, even a small amount; Hoarseness; Shortness of breath; Wheezing",,High
Merkel cell carcinoma,Cancer,"The first symptom of Merkel cell carcinoma most often is a growth on the skin; A Merkel cell carcinoma can cause:; A bump on the skin that often is painless; A bump that grows quickly; A bump whose two sides don't match; A bump that looks pink, purple, red-brown, or the same color as the skin around it","While exposure to sunlight isn't proved to cause all Merkel cell carcinomas, it is thought to be a risk factor for this cancer; Try to:",High
Mesothelioma,Cardiovascular,Signs and symptoms of mesothelioma depend on where the cancer starts; Pleural mesotheliomaaffects the tissue around the lungs. Symptoms may include:; Chest pain; Painful coughing; Shortness of breath; Lumps under the skin on the chest; Tiredness; Weight loss without trying,Reducing your exposure to asbestos may lower your risk of mesothelioma,High
Mouth cancer,Cancer,A lip or mouth sore that won't heal; A white or reddish patch on the inside of the mouth; Loose teeth; A growth or lump inside the mouth; Mouth pain; Ear pain; Difficult or painful swallowing,,High
Multiple myeloma,Cancer,"Bone pain, especially in the spine, chest or hips; Nausea; Constipation; Loss of appetite; Mental fogginess or confusion; Tiredness; Infections; Weight loss",,High
Nasopharyngeal carcinoma,Cancer,A lump in your neck caused by a swollen lymph node; Bleeding from the nose; Bloody saliva; Double vision; Ear infections; Facial numbness; Headaches; Hearing loss,There's no sure way to prevent nasopharyngeal carcinoma,High
Neuroblastoma,Cancer,Signs and symptoms of neuroblastoma may vary depending on what part of the body is affected; Neuroblastoma in the bellymay cause symptoms such as:; Belly pain; A lump under the skin that typically isn't tender when touched; Diarrhea or constipation; Neuroblastoma in the chestmay cause symptoms such as:; Wheezing; Difficulty breathing,,High
Non-Hodgkin lymphoma,Cancer,"Swollen lymph nodes in the neck, armpits or groin; Belly pain or swelling; Chest pain, coughing or trouble breathing; Feeling very tired; Fever; Night sweats; Weight loss without trying",,High
Ovarian cancer,Cancer,"When ovarian cancer first develops, it might not cause any noticeable symptoms; Signs and symptoms of ovarian cancer may include:; Abdominal bloating or swelling; Quickly feeling full when eating; Weight loss; Discomfort in the pelvic area; Fatigue; Back pain",Consider taking birth control pills; Discuss your risk factors with your doctor,High
Pancreatic cancer,Cancer,"Belly pain that spreads to the sides or back; Loss of appetite; Weight loss; Yellowing of the skin and the whites of the eyes, called jaundice; Light-colored or floating stools; Dark-colored urine; Itching; New diagnosis of diabetes or diabetes that's getting harder to control",,High
Paraneoplastic syndromes of the nervous system,Cancer,"Symptoms of paraneoplastic syndromes of the nervous system can develop relatively quickly, often over days to weeks; Symptoms vary depending on the body part being injured, and may include:; Trouble walking; Trouble with balance; Loss of muscle coordination; Loss of muscle tone or weakness; Loss of fine motor skills, such as picking up objects; Trouble swallowing",,High
Prostate cancer,Cancer,"Prostate cancer may not cause symptoms at first; When they happen, early-stage prostate cancer signs and symptoms can include:; Blood in the urine, which might make the urine look pink, red or cola-colored; Blood in the semen; Needing to urinate more often; Trouble getting started when trying to urinate; Waking up to urinate more often at night; If the prostate cancer spreads, other symptoms can happen",Choose a healthy diet; Exercise most days of the week; Maintain a healthy weight; Don't smoke; Medicines to lower the risk of prostate cancer,High
Rectal cancer,Cancer,"Rectal cancer may not cause symptoms early on. Symptoms of rectal cancer usually happen when the disease is advanced; Signs and symptoms of rectal cancer include:; A change in bowel habits, such as diarrhea, constipation or a more-frequent need to pass stool; A feeling that the bowel doesn't empty completely; Abdominal pain; Dark maroon or bright red blood in stool; Narrow stool; Weight loss that happens without trying",,High
Retinoblastoma,Cancer,A white color in the center circle of the eye when light is shone in the eye. It might show up in flash photos; Eye redness; Eye swelling; Eyes that seem to be looking in different directions; Vision loss,"There's no way to prevent retinoblastoma; Some retinoblastomas are caused by DNA changes that run in families; If your children have an increased risk of retinoblastoma, care can be planned to manage that risk; If you haven't had children, but are planning to, talk with your healthcare team about your family history of retinoblastoma",High
Soft tissue sarcoma,Cancer,"A noticeable lump or swelling; Pain, if the growth presses on nerves or muscles",,High
Squamous cell carcinoma of the skin,Cancer,"Squamous cell carcinoma of the skin most often occurs on sun-exposed skin; Symptoms of squamous cell carcinoma of the skin include:; A firm bump on the skin, called a nodule; A flat sore with a scaly crust; A new sore or raised area on an old scar or sore; A rough, scaly patch on the lip that may become an open sore; A sore or rough patch inside the mouth; A raised patch or wartlike sore on or in the anus or on the genitals",Stay out of the sun during the middle of the day; Wear sunscreen year-round; Wear protective clothing; Don't use tanning beds.The lights in tanning beds give offUVradiation. Using tanning beds increases the risk of skin cancer; Check your skin often and report changes to your health care team,High
Testicular cancer,Cancer,A lump or swelling in either testicle; A feeling of heaviness in the scrotum; A dull ache in the lower belly or groin; Sudden swelling in the scrotum; Pain or discomfort in a testicle or the scrotum; Enlargement or tenderness of the breast tissue; Back pain; Usually testicular cancer only happens in one testicle,"There's no way to prevent testicular cancer. If you get testicular cancer, there's nothing you could have done to prevent it",High
Throat cancer,Cancer,"A cough; Changes in your voice, such as hoarseness or not speaking clearly; Difficulty swallowing; Ear pain; A lump or sore that doesn't heal; A sore throat; Weight loss","Stop smoking or don't start smoking; Drink alcohol only in moderation, if at all; Choose a healthy diet full of fruits and vegetables; Protect yourself fromHPV",High
Thyroid cancer,Cardiovascular,"A lump (nodule) that can be felt through the skin on your neck; A feeling that close-fitting shirt collars are becoming too tight; Changes to your voice, including increasing hoarseness; Difficulty swallowing; Swollen lymph nodes in your neck; Pain in your neck and throat","Doctors aren't sure what causes the gene changes that lead to most thyroid cancers, so there's no way to prevent thyroid cancer in people who have an average risk of the disease",High
Vaginal cancer,Cancer,"Vaginal bleeding that isn't typical, such as after menopause or after sex; Vaginal discharge; A lump or mass in the vagina; Painful urination; Frequent urination; Constipation; Pelvic pain",,High
Vulvar cancer,Cancer,"A lump, wartlike bump or an open sore on the vulva; Bleeding in the genital area that isn't from menstruation; Itching of the skin of the vulva that doesn't go away; Pain and tenderness that affects the vulva; Skin changes, such as changes in the color of the skin of the vulva or thickening of the skin","To lower the risk of vulvar cancer, don't smoke tobacco",High
Wilms tumor,Cancer,"A mass in the stomach area that can be felt; Swelling in the stomach area; Pain in the stomach area; Other symptoms might include:; Fever; Blood in the urine; Low red blood cell level, also known as anemia; High blood pressure","Wilms tumor can't be prevented; If a child has any of the conditions that increase the risk for Wilms tumor, a health care provider might suggest doing kidney ultrasounds at times to look for anything unusual in the kidneys",High
Yeast infection (vaginal),Infectious,"Itching and irritation in the vagina and tissues at the vaginal opening, called the vulva; A burning feeling, mainly during intercourse or while urinating; Redness and swelling of the vulva. Redness may be harder to see on Black or brown skin than on white skin; Vaginal pain and soreness; Thick, white vaginal shedding of fluid and cells, called discharge, with little or no odor. The discharge looks like cottage cheese","To lower your risk of vaginal yeast infections, wear underwear that has a cotton crotch and doesn't fit too tightly; Also, these tips might help prevent a yeast infection:; Do not wear tight pantyhose, underwear or jeans; Do not douche. This removes some of the good germs in the vagina that protect from infection; Do not use scented products in the vaginal area. For instance, don't use scented bubble bath, soap, menstrual pads and tampons; Do not use hot tubs or take hot baths; Do not use antibiotics you don't need. For instance, don't take antibiotics for colds or other viral infections; Do not stay in wet clothes, such as swimsuits and workout clothes, for longer than needed",Low
Sudden cardiac arrest,Cardiovascular,Sudden collapse; No pulse; No breathing; Loss of consciousness; Sometimes other symptoms occur before sudden cardiac arrest. These might include:; Chest discomfort; Shortness of breath; Weakness,"Eat healthy; Stay active and get regular exercise; Do not smoke or use tobacco; Have regular checkups; Get screened for heart disease; Control blood pressure and cholesterol; Genetic tests can be done to see if you have long QT syndrome, a common cause of sudden cardiac death; If you have a known risk of cardiac arrest, your healthcare professional might recommend a heart device called an implantable cardioverter-defibrillator (ICD)",High
Myocardial ischemia,Cardiovascular,"Some people who have myocardial ischemia don't have any signs or symptoms (silent ischemia); When they do occur, the most common is chest pressure or pain, typically on the left side of the body (angina pectoris)",The same lifestyle habits that can help treat myocardial ischemia can also help prevent it from developing in the first place,High
Dilated cardiomyopathy,Cardiovascular,Some people with dilated cardiomyopathy don't have any signs or symptoms in the early stages of the disease; Signs and symptoms of dilated cardiomyopathy may include:,,High
Hypertrophic cardiomyopathy,Cardiovascular,"Chest pain, especially during exercise; Fainting, especially during or just after exercise or other physical activity; Sensation of fast, fluttering or pounding heartbeats called palpitations; Shortness of breath, especially during exercise","There is no known way to prevent hypertrophic cardiomyopathy (HCM); Hypertrophic cardiomyopathy usually is passed down in families; If genetic testing isn't done, or if the results aren't helpful, screening may be done with repeated echocardiograms; For people who have a family member with hypertrophic cardiomyopathy:; Echocardiogram screenings are recommended starting at about age 12; Screening with echocardiograms should continue every 1 to 3 years through ages 18 to 21; After that, the screenings can be done every five years through adulthood; You may need to have an echocardiogram more often based on your overall health and healthcare team's preference",High
Achalasia,Neurological,"Difficulty swallowing, called dysphagia, which may feel like food or drink is stuck in the throat; Swallowed food or saliva flowing back into the throat; Heartburn; Belching; Chest pain that comes and goes; Coughing at night; Pneumonia from getting food in the lungs; Weight loss",,Medium
Heart disease,Cardiovascular,Heart disease symptoms depend on the type of heart disease,"Don't smoke; Eat a diet that's low in salt and saturated fat; Exercise at least 30 minutes a day on most days of the week; Maintain a healthy weight; Reduce and manage stress; Control high blood pressure, high cholesterol and diabetes; Get good sleep. Adults should aim for 7 to 9 hours daily",High
Carotid artery disease,Cardiovascular,"In its early stages, carotid artery disease often doesn't have symptoms; Symptoms of a stroke orTIAinclude:; Sudden numbness or weaknessin the face or limbs, often on one side of the body; Sudden trouble speakingand understanding speech; Sudden trouble seeingin one or both eyes; Sudden dizzinessor loss of balance; Sudden, severe headachewith no known cause","Don't smoke.Within a few years of quitting, a former smoker's risk of stroke is like a nonsmoker's; Maintain a healthy weight.Being overweight increases other risk factors, such as high blood pressure, cardiovascular disease, diabetes and sleep apnea; Eat a healthy diet.Focus on fruits and vegetables, whole grains and fish, nuts and legumes. Limit cholesterol and fat, especially saturated and trans fats; Limit salt.Too much salt can increase blood pressure in some people. Experts recommend that healthy adults eat less than 1,500 milligrams of salt a day; Exercise regularly; Limit or avoid alcohol; Control illnesses.Managing conditions such as diabetes and high blood pressure helps protect arteries",High
Childhood apraxia of speech,Neurological,"Children with childhood apraxia of speech (CAS) may have a variety of speech symptoms; CAScan result in:; Babbling less or making fewer vocal sounds than is typical between the ages of 7 to 12 months; Speaking first words late, typically after ages 12 to 18 months old; Using a limited number of consonants and vowels; Often leaving out sounds when speaking; Using speech that is hard to understand; These symptoms are usually noticed between ages 18 months and 2 years",Diagnosing and treating childhood apraxia of speech at an early stage may reduce the risk of long-term persistence of the problem,Low
Congenital diaphragmatic hernia (CDH),Cardiovascular,"Congenital diaphragmatic hernia ranges in severity; Babies born withCDHmay have:; Severe trouble breathing due to small lungs that don't work well (pulmonary hypoplasia); A type of high blood pressure that affects the arteries in the lungs and the right side of the heart (pulmonary hypertension); Problems with development of the heart; Damage to the intestines, stomach, liver and other abdominal organs if they move through the hernia into the chest",,Medium
Median arcuate ligament syndrome (MALS),Cardiovascular,Pressure on the celiac artery doesn't always cause symptoms.MALSsymptoms are mainly caused by pressure on the nerves; Symptoms ofMALSinclude:; Stomach pain after eating or exercising; The stomach pain gets better by leaning forward or backward or standing while eating; Fear of eating food because of pain; Unintended weight loss; Bloating; Diarrhea,,High
Barrett's esophagus,Cardiovascular,"Frequent heartburn and regurgitation of stomach contents; Difficulty swallowing food; Less commonly, chest pain; Curiously, approximately half of the people diagnosed with Barrett's esophagus report little if any symptoms of acid reflux",,High
Swimmer's itch,Skin,"Swimmer's itch symptoms include an itchy rash that looks like pimples or blisters; Usually the rash affects skin that's not covered by swimsuits, wetsuits or waders",Choose swimming spots carefully; Rinse after swimming.Rinse exposed skin with clean water right after leaving the water. Then dry the skin with a towel; Skip the bread crumbs.Don't feed birds on piers or near swimming areas,Medium
CSF leak (Cerebrospinal fluid leak),Neurological,Symptoms vary between spinal and cranialCSFleaks,,Medium
Stroke,Cardiovascular,"If you or someone you're with may be having a stroke, pay attention to the time the symptoms began; Symptoms of stroke include:; Trouble speaking and understanding what others are saying.A person having a stroke may be confused, slur words or may not be able to understand speech; Numbness, weakness or paralysis in the face, arm or leg; Problems seeing in one or both eyes.The person may suddenly have blurred or blackened vision in one or both eyes. Or the person may see double; Headache.A sudden, severe headache may be a symptom of a stroke. Vomiting, dizziness and a change in consciousness may occur with the headache; Trouble walking.Someone having a stroke may stumble or lose balance or coordination","You can take steps to prevent a stroke; Many stroke prevention strategies are the same as strategies to prevent heart disease. In general, healthy lifestyle recommendations include:; Control high blood pressure, known as hypertension; Lower the amount of cholesterol and saturated fat in your diet; Quit tobacco use.Smoking raises the risk of stroke for smokers and nonsmokers exposed to secondhand smoke. Quitting lowers your risk of stroke; Manage diabetes; Maintain a healthy weight.Being overweight contributes to other stroke risk factors, such as high blood pressure, cardiovascular disease and diabetes; Eat a diet rich in fruits and vegetables",High
Incompetent cervix,Ear/Nose/Throat,"With an incompetent cervix, there may be no signs or symptoms during early pregnancy; Be on the lookout for:; A feeling of pelvic pressure; A new backache; Mild stomach cramps; A change in vaginal discharge; Light vaginal bleeding","Seek regular prenatal care; Eat a healthy diet; Gain weight wisely; Avoid risky substances; If you've had an incompetent cervix during one pregnancy, you're at risk of premature birth or pregnancy loss in later pregnancies",Medium
Cervical spondylosis,Neurological,"Most people experience no symptoms. When symptoms do occur, they typically include pain and stiffness in the neck; Sometimes, cervical spondylosis results in a narrowing of the spinal canal within the bones of the spine (the vertebrae)",,High
Neck pain,Musculoskeletal,"Pain that's often worsened by holding the head in one place for long periods, such as when driving or working at a computer; Muscle tightness and spasms; Decreased ability to move the head; Headache","Use good posture; Take frequent breaks.If you travel long distances or work long hours at your computer, get up, move around, and stretch your neck and shoulders; Adjust your desk, chair and computerso that the monitor is at eye level. Knees should be slightly lower than hips. Use your chair's armrests; If you smoke, quit.Smoking can increase the risk of developing neck pain; Avoid carrying heavy bags with straps over your shoulder.The weight can strain your neck; Sleep in a healthy position; Stay active.If you don't move much, increase your activity level",High
Cystic fibrosis,Respiratory,"In the U; CF symptoms vary, depending on which organs are affected and how severe the condition is; People who are not diagnosed until adulthood usually have milder symptoms and are more likely to have symptoms that aren't typical; People with CF have a higher than usual level of salt in their sweat","If you or your partner have close relatives with cystic fibrosis, you both may choose to have genetic testing before having children; If you're already pregnant and the genetic test shows that your baby may be at risk of CF, your healthcare professional can do other tests on your unborn child; Genetic testing isn't for everyone. Before you decide to be tested, talk with a genetic counselor about the mental health impact the test results might have",High
Hip dysplasia,Musculoskeletal,"Symptoms vary by age group; In teenagers and young adults, hip dysplasia can cause painful complications such as osteoarthritis or a hip labral tear",,Medium
Drug addiction (substance use disorder),Neurological,"Feeling that you have to use the drug regularly — daily or even several times a day; Having intense urges for the drug that block out any other thoughts; Over time, needing more of the drug to get the same effect; Taking larger amounts of the drug over a longer period of time than you intended; Making certain that you maintain a supply of the drug; Spending money on the drug, even though you can't afford it; Not meeting obligations and work responsibilities, or cutting back on social or recreational activities because of drug use; Continuing to use the drug, even though you know it's causing problems in your life or causing you physical or psychological harm",The best way to prevent an addiction to a drug is not to take the drug at all; Health care providers should prescribe these medicines at safe doses and amounts and monitor their use so that you're not given too great a dose or for too long a time,High
Child abuse,Ear/Nose/Throat,Specific signs and symptoms depend on the type of abuse and can vary,"You can take important steps to protect your child from exploitation and child abuse, as well as prevent child abuse in your neighborhood or community; Here's how you can help keep children safe:; Teach your child how to stay safe online; Cover online ground rules, such as not sharing personal information; not responding to inappropriate, hurtful or frightening messages; and not arranging to meet an online contact in person without your permission",High
